seed,task,method,method_label,best_train_loss,best_test_loss,best_train_score,best_test_score,score_metric,convergence_epoch,epochs_completed,diverged,cosine,variance
0,California Housing,bp,BP,0.2597211890442427,0.2598678445400194,0.7402788400650024,0.7332732081413269,R2,21,200,False,1.0,0.0
0,California Housing,np,IS NP,0.32850224865499394,0.3264957735704821,0.6714978218078613,0.6648867130279541,R2,50,200,False,0.30741021915231476,0.015963644749270037
0,California Housing,np_fixed,Vanilla NP,0.31421458998391794,0.31682597481927205,0.6857854127883911,0.6748117208480835,R2,60,200,False,0.3216247144895486,0.023988492366595143
0,California Housing,np_fan_in,Fan-in NP,0.316690593957901,0.32297551054363105,0.6833094358444214,0.6684999465942383,R2,54,200,False,0.21709460458637644,0.11736693696047251
0,California Housing,wp,WP,0.3388663199982902,0.3418183215828829,0.6611337065696716,0.6491596698760986,R2,25,200,False,0.05589148932366441,0.7793392767508825
1,California Housing,bp,BP,0.2644966006741043,0.26409365952939023,0.7355034351348877,0.7289358377456665,R2,27,200,False,1.0,0.0
1,California Housing,np,IS NP,0.3298446903395098,0.3314555901889653,0.6701552867889404,0.6597959995269775,R2,71,200,False,0.30304833859778363,0.01601023082024394
1,California Housing,np_fixed,Vanilla NP,0.3141861072806425,0.3150533909021422,0.6858139038085938,0.6766310930252075,R2,85,200,False,0.317459732432587,0.02056904113254486
1,California Housing,np_fan_in,Fan-in NP,0.33311670417933503,0.33766728316166605,0.6668832898139954,0.6534203290939331,R2,89,200,False,0.21028022683607653,0.09436255674809217
1,California Housing,wp,WP,0.3454561196556387,0.3464447814364766,0.6545438766479492,0.6444112062454224,R2,19,200,False,0.0499961864716636,0.7827592890996199
2,California Housing,bp,BP,0.2611499343269555,0.26020214966563293,0.7388501167297363,0.732930064201355,R2,28,200,False,1.0,0.0
2,California Housing,np,IS NP,0.32113260550554407,0.32511441143908243,0.6788674592971802,0.6663045287132263,R2,76,200,False,0.25536294657854924,0.015187746814141671
2,California Housing,np_fixed,Vanilla NP,0.31689504897871684,0.3219465876734534,0.6831049919128418,0.6695559620857239,R2,85,200,False,0.3018183028229918,0.01865678429125975
2,California Housing,np_fan_in,Fan-in NP,0.32343726888183477,0.3274146533289621,0.6765627861022949,0.6639435887336731,R2,87,200,False,0.1842029587097036,0.07858099777920123
2,California Housing,wp,WP,0.35285721869431724,0.34953291425409244,0.647142767906189,0.6412414908409119,R2,19,200,False,0.048640847452752024,0.7437343478202819
3,California Housing,bp,BP,0.2581756541202235,0.25710555564525517,0.7418243288993835,0.7361083626747131,R2,28,200,False,1.0,0.0
3,California Housing,np,IS NP,0.3195369438838589,0.31738587798074236,0.6804630756378174,0.6742370128631592,R2,59,200,False,0.24431147863969016,0.015493032300414947
3,California Housing,np_fixed,Vanilla NP,0.30847741305366044,0.30693183873975,0.6915225982666016,0.684967041015625,R2,105,200,False,0.2720026117743542,0.019846457675194894
3,California Housing,np_fan_in,Fan-in NP,0.306649482065393,0.31199068986168205,0.6933504939079285,0.6797746419906616,R2,93,200,False,0.17824138485683272,0.08883990994535196
3,California Housing,wp,WP,0.3287627730489701,0.334736810405125,0.6712372303009033,0.6564281582832336,R2,18,200,False,0.04788906983553599,0.7568225672611825
4,California Housing,bp,BP,0.26128270124742226,0.2612764211588128,0.7387173175811768,0.7318273782730103,R2,27,200,False,1.0,0.0
4,California Housing,np,IS NP,0.3215344225944475,0.3179756673269494,0.6784656047821045,0.6736316680908203,R2,41,200,False,0.23212379805194452,0.015988602864150055
4,California Housing,np_fixed,Vanilla NP,0.3047700485055761,0.30581992402557256,0.6952299475669861,0.6861082315444946,R2,75,200,False,0.28340801291543843,0.022706528146488547
4,California Housing,np_fan_in,Fan-in NP,0.2992197286713031,0.3017191378645195,0.7007802724838257,0.6903172731399536,R2,68,200,False,0.16038214162272665,0.10519471780802958
4,California Housing,wp,WP,0.3328042312185894,0.33653908656087034,0.6671957969665527,0.6545783281326294,R2,17,200,False,0.042547116185260865,0.784535415050311
