method,cosine_mean,cosine_std,variance_mean,variance_std,sigma
np,0.7277060925029218,0.06847845999643261,0.007349902368150652,0.0005183859969322154,0.15
np_fan_in,0.7438002625208658,0.06343850964187693,0.007866494510866082,0.0004397182889805248,0.10000000000000002
np_fixed,0.7489326620784899,0.06562455649673457,0.007842448126757518,0.0004380427458898219,0.3
wp,0.42927375598713596,0.09129134722960479,0.06206794149863223,0.003729091961923339,0.225
