Method,Best test loss,Best test score,Cosine,Variance
BP,0.0618 $\pm$ 7.69e-5,0.558 $\pm$ 0.00303,1.00 $\pm$ 0.00,0.00 $\pm$ 0.00
IS NP,0.0788 $\pm$ 1.28e-4,0.362 $\pm$ 0.00265,0.0470 $\pm$ 0.00208,1.87e-5 $\pm$ 4.35e-7
Fan-in NP,0.0799 $\pm$ 4.49e-5,0.354 $\pm$ 0.00195,0.0419 $\pm$ 0.00297,1.97e-5 $\pm$ 5.35e-7
Vanilla NP,0.0812 $\pm$ 1.47e-4,0.337 $\pm$ 0.00315,0.0275 $\pm$ 7.16e-4,4.44e-5 $\pm$ 1.00e-6
WP,0.0838 $\pm$ 3.85e-4,0.296 $\pm$ 0.00637,9.92e-4 $\pm$ 4.38e-5,0.0504 $\pm$ 6.81e-4
