task,method,method_label,score_metric,best_train_loss_mean,best_train_loss_std,best_test_loss_mean,best_test_loss_std,best_train_score_mean,best_train_score_std,best_test_score_mean,best_test_score_std,convergence_epoch_mean,convergence_epoch_std,cosine_mean,cosine_std,variance_mean,variance_std
CIFAR-10,bp,BP,Accuracy,0.038490811145305635,0.00041369344297105624,0.06184782905459404,7.694323846835686e-05,0.80465,0.005125304868981015,0.558,0.003031501278244811,35.0,0.7071067811865476,1.0,0.0,0.0,0.0
CIFAR-10,np,IS-NP,Accuracy,0.07875880908966064,0.0001921959989257105,0.07877285214185714,0.00012792762218767512,0.3558,0.00455315824455949,0.36206,0.0026510375327407124,47.0,3.391164991562634,0.04703541436103706,0.002084202784731132,1.8708398894107057e-05,4.352174016502837e-07
CIFAR-10,np_fan_in,Fan-in NP,Accuracy,0.07979561547040939,2.761676998059824e-05,0.07987845099925996,4.493119331891596e-05,0.35,0.0038770156048177147,0.35402,0.0019524343778985198,46.2,2.5884358211089564,0.04192825892877961,0.0029736210159934987,1.973205178981443e-05,5.352700625170946e-07
CIFAR-10,np_fixed,Vanilla NP,Accuracy,0.08120407004356384,0.0001159630097980877,0.08115431548595428,0.00014666864016866778,0.33205,0.004573702001661249,0.33655999999999997,0.003151666225982708,45.4,2.1908902300206647,0.02751708980397377,0.0007156402912904427,4.444746296825386e-05,1.0019462746260628e-06
CIFAR-10,wp,WP,Accuracy,0.08386988480091095,0.0004938423207279731,0.08378301595926285,0.00038483254756343583,0.2941,0.010895239786255274,0.296,0.006368280772704697,29.0,5.612486080160912,0.0009916091457755824,4.378881311240655e-05,0.050370570117542604,0.0006807328051000563
