Method,Train loss,Test loss,Train score,Test score,Conv. epoch,Cosine,Variance,Overall
IS NP,1.5,1.75,1.5,1.75,2.0,1.75,1.0,1.6071428571428572
Fan-in NP,2.0,1.75,2.0,1.75,2.75,2.25,2.5,2.142857142857143
Vanilla NP,2.5,2.5,2.5,2.5,3.25,2.0,2.5,2.5357142857142856
WP,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.7142857142857144
