seed,checkpoint_epoch,batch_index,method,sigma,component,component_label,layer_index,avg_sample_cosine,mean_estimate_cosine,sample_variance,batch_variance
0,1,0,np,0.0325,all,All parameters,-1,0.0276051485480275,0.2569520175457001,1.4342599624797004e-05,1.6089616394765471e-07
0,1,0,np_fan_in,0.00875,all,All parameters,-1,0.029695137313760257,0.27350080013275146,1.7939917252078886e-05,1.9845109022753604e-07
0,1,0,np_fixed,0.12,all,All parameters,-1,0.016240061211133253,0.1619420051574707,5.295262097206432e-05,5.438065500129596e-07
0,1,0,wp,0.0275,all,All parameters,-1,0.0010824025524198077,0.011120853945612907,0.009682287531904876,9.66065053944476e-05
0,1,1,np,0.0325,all,All parameters,-1,0.0182345819989132,0.1749289631843567,1.6033217070798857e-05,1.7472491720127437e-07
0,1,1,np_fan_in,0.00875,all,All parameters,-1,0.01737725963932462,0.1677742302417755,2.0514136758720268e-05,2.2459731496837776e-07
0,1,1,np_fixed,0.12,all,All parameters,-1,0.01332208178282599,0.13439629971981049,6.300322420429438e-05,6.045962095413415e-07
0,1,1,wp,0.0275,all,All parameters,-1,0.0010771327094334993,0.01085016317665577,0.011421687109395862,0.00011446492135291919
0,1,2,np,0.0325,all,All parameters,-1,0.02971441536443308,0.27839788794517517,1.4111452101133182e-05,1.5313041501485714e-07
0,1,2,np_fan_in,0.00875,all,All parameters,-1,0.024200147432857193,0.2337619811296463,1.8116985311280588e-05,1.8865033268866682e-07
0,1,2,np_fixed,0.12,all,All parameters,-1,0.015765263803768904,0.1582285314798355,5.1887084664485885e-05,5.078993581264513e-07
0,1,2,wp,0.0275,all,All parameters,-1,0.0011580738789143652,0.011558852158486843,0.010494976192712785,0.00010470428969711065
0,1,3,np,0.0325,all,All parameters,-1,0.02694929785327986,0.2532428205013275,1.3982959208078683e-05,1.4981134199842927e-07
0,1,3,np_fan_in,0.00875,all,All parameters,-1,0.028379201329225907,0.27313685417175293,1.818030777940294e-05,1.8475098784165311e-07
0,1,3,np_fixed,0.12,all,All parameters,-1,0.011272349499595293,0.11384031921625137,5.1686813021660784e-05,5.190955221223703e-07
0,1,3,wp,0.0275,all,All parameters,-1,0.0015014700971369165,0.014994160272181034,0.010016092183068395,0.00010048103285953403
0,1,4,np,0.0325,all,All parameters,-1,0.025523302631918342,0.23607602715492249,1.5644659715690068e-05,1.7431614196539158e-07
0,1,4,np_fan_in,0.00875,all,All parameters,-1,0.02445200202113483,0.23359698057174683,1.8656957226994564e-05,1.9574822829326877e-07
0,1,4,np_fixed,0.12,all,All parameters,-1,0.016203080673876685,0.16081799566745758,5.563306000112789e-05,5.67078018320899e-07
0,1,4,wp,0.0275,all,All parameters,-1,0.0010266684895441358,0.010127944871783257,0.010703852325677872,0.00010713135270634666
0,1,5,np,0.0325,all,All parameters,-1,0.027926446655692418,0.2601228654384613,1.5605691287419178e-05,1.7031965171554475e-07
0,1,5,np_fan_in,0.00875,all,All parameters,-1,0.029689323825296016,0.28312548995018005,2.0242379505361897e-05,2.0764194630373822e-07
0,1,5,np_fixed,0.12,all,All parameters,-1,0.014470221887313528,0.14381997287273407,6.233258613065117e-05,6.268404035836284e-07
