method,cosine_mean,cosine_std,variance_mean,variance_std,sigma
np,0.217405714596683,0.03287330894001541,1.18306733115681e-05,2.1436377752683343e-07,0.0325
np_fan_in,0.21349875136355684,0.02573617989682958,1.4790393530181436e-05,2.277010971237644e-07,0.00875
np_fixed,0.13945462929436864,0.008646427374256044,4.262473020468905e-05,3.6792510123413733e-07,0.12
wp,0.009923290224348118,0.001267229467135808,0.007865504628826415,8.999239087085511e-05,0.027500000000000004
