checkpoint_epoch,method,cosine_mean,cosine_std,variance_mean,variance_std,sigma
1,np,0.24727808381480448,0.013166063228650557,1.5026295050653382e-05,3.868618181092607e-07,0.0325
1,np_fan_in,0.23836079981726116,0.009035192954827038,1.8478757163302168e-05,3.96727567306454e-07,0.00875
1,np_fixed,0.1514082005855117,0.005555711224177707,5.5882421952429294e-05,6.266301380946817e-07,0.12
1,wp,0.010732949335278987,0.0004018789977915055,0.010355736896461212,0.0002086548734245909,0.027500000000000004
10,np,0.21023710123531378,0.028933009037267022,1.1756953917541946e-05,3.9563575636305063e-07,0.0325
10,np_fan_in,0.20319856924604554,0.023128208181792242,1.4170609808912281e-05,3.9542306240070807e-07,0.00875
10,np_fixed,0.14730235899149227,0.007484461057644643,3.407157792481933e-05,3.3219564458921703e-07,0.12
10,wp,0.009865431558842938,0.000912125674634671,0.007467527759776238,0.00017879107271304324,0.027500000000000004
20,np,0.1629506873053142,0.02193054624943475,1.1526038974686106e-05,3.71033078690677e-07,0.0325
20,np_fan_in,0.16397101266611455,0.017446593043755912,1.3568032314755394e-05,3.366900021667038e-07,0.00875
20,np_fixed,0.1481764325502712,0.004463505108008588,2.8012491332196935e-05,3.8487041018931555e-07,0.12
20,wp,0.00835119714127801,0.0008786482718653969,0.006794259430483174,0.0001465265727255318,0.027500000000000004
