checkpoint_epoch,method,cosine_mean,cosine_std,variance_mean,variance_std,sigma
1,np,0.25148324586783244,0.026510387029711428,9.999711605554125e-06,4.386808914159909e-07,0.0325
1,np_fan_in,0.257549002092735,0.020725815776446766,1.311841542875375e-05,4.4698639206379825e-07,0.00875
1,np_fixed,0.15212522315181745,0.007586634731960428,4.5334110737208774e-05,1.2352532949941484e-06,0.12
1,wp,0.011702335210202653,0.0010310773271316623,0.006630912432031837,0.0003348744806242283,0.027500000000000004
10,np,0.22708923373442547,0.04764670475189064,1.3335027662810282e-05,3.142590818363832e-07,0.0325
10,np_fan_in,0.20998331767263684,0.03463557148483685,1.6468371909555153e-05,2.53680768895968e-07,0.00875
10,np_fixed,0.1360154007365749,0.011594190242646046,4.558165157134096e-05,2.2142769136201831e-07,0.12
10,wp,0.009702265935773505,0.001788988922451752,0.009100011445487001,0.00012572950142599937,0.027500000000000004
20,np,0.17364466418779106,0.034846175249977865,1.2157280666339894e-05,3.5082933363181367e-07,0.0325
20,np_fan_in,0.1729639343252987,0.030374752103618376,1.4784393252235403e-05,3.4300563384416774e-07,0.00875
20,np_fixed,0.13022326399471348,0.009205067309517114,3.695842830551741e-05,1.4073571054102202e-07,0.12
20,wp,0.008365269527068194,0.0013670952200813583,0.007865590008960407,0.00010529890819586089,0.027500000000000004
