method,cosine_mean,cosine_std,variance_mean,variance_std,sigma
np,0.2068219574518108,0.015060198447320311,1.2769762647627143e-05,3.6424306693287316e-07,0.0325
np_fan_in,0.20184346057647376,0.011639338928274604,1.540579976232328e-05,3.4379797950511515e-07,0.00875
np_fixed,0.1489623307090917,0.0033326248928882162,3.932216373648185e-05,4.0103728685581133e-07,0.12
wp,0.009649859345133311,0.0004469839827526936,0.008205841362240208,0.00016214372258973692,0.027500000000000004
