task,method,method_label,score_metric,best_train_loss_mean,best_train_loss_std,best_test_loss_mean,best_test_loss_std,best_train_score_mean,best_train_score_std,best_test_score_mean,best_test_score_std,convergence_epoch_mean,convergence_epoch_std,cosine_mean,cosine_std,variance_mean,variance_std
MNIST,bp,BP,Accuracy,0.00015404155139112845,2.179132785712364e-05,0.005873127269744873,0.00019512798150925,0.9999500000000001,0.00011180339887495234,0.97604,0.0006841052550594885,22.2,0.44721359549995765,1.0,0.0,0.0,0.0
MNIST,np,IS NP,Accuracy,0.011112569269537926,0.00033178286099223473,0.01233211729258299,0.00033412401189533784,0.95835,0.0015062370331392128,0.9494399999999998,0.0026283074401599283,97.6,6.841052550594828,0.217405714596683,0.03287330894001541,1.18306733115681e-05,2.1436377752683343e-07
MNIST,np_fan_in,Fan-in NP,Accuracy,0.019043864315748216,0.0004984376653710988,0.01922082006394863,0.00043366544456985257,0.9225,0.003092329219213224,0.92104,0.0029373457406304676,172.6,4.33589667773576,0.21349875136355684,0.02573617989682958,1.4790393530181436e-05,2.277010971237644e-07
MNIST,np_fixed,Vanilla NP,Accuracy,0.025893289759755134,0.0005996648845184312,0.025926921337246896,0.0005613865362530751,0.90465,0.001557241150239774,0.9042,0.0022803508501982772,208.2,14.584238067173748,0.13945462929436864,0.008646427374256044,4.262473020468905e-05,3.6792510123413733e-07
MNIST,wp,WP,Accuracy,0.04058327884674072,0.0008005108194504976,0.040573387830257414,0.0012014288436064252,0.8242,0.004728239630137218,0.8224,0.006451356446515736,192.8,23.84743172754668,0.009923290224348118,0.001267229467135808,0.007865504628826415,8.999239087085511e-05
