task,method,method_label,score_metric,best_train_loss_mean,best_train_loss_std,best_test_loss_mean,best_test_loss_std,best_train_score_mean,best_train_score_std,best_test_score_mean,best_test_score_std,convergence_epoch_mean,convergence_epoch_std,cosine_mean,cosine_std,variance_mean,variance_std
California Housing,bp,BP,R2,0.26096521588258964,0.0023417330124768706,0.2605091261078221,0.002526231878932266,0.7390348076820373,0.002341716676428799,0.7326149702072143,0.0025929071068717512,26.2,2.9495762407505257,1.0,0.0,0.0,0.0
California Housing,np,IS NP,R2,0.32411018219567084,0.004706108810906615,0.3236854641012443,0.005970786248888299,0.6758898496627808,0.004706118077055557,0.6677711844444275,0.006128356928328235,59.4,14.467204291085407,0.26845135620405647,0.034599406893817505,0.015728651509644132,0.00037086983528982246
California Housing,np_fan_in,Fan-in NP,R2,0.31582275555115336,0.013394253095405517,0.32035345495209216,0.013907533557310323,0.6841772556304931,0.01339424298127557,0.6711911559104919,0.014274599091341383,78.2,16.60421633200435,0.1900402633223432,0.023422667147455292,0.09686902384822949,0.014955622410654009
California Housing,np_fixed,Vanilla NP,R2,0.31170864156050276,0.004947255477744641,0.31331554323203803,0.006833267207859212,0.6882913708686829,0.0049472434926657385,0.678414809703827,0.007013621575094194,82.0,16.431676725154983,0.29926267488698405,0.021402139494618815,0.02115346072241664,0.002164059799980926
California Housing,wp,WP,R2,0.33974933252316114,0.009670867742622375,0.34181438284788945,0.006303513232114746,0.6602506756782531,0.009670879446488905,0.6491637706756592,0.006469894957185666,19.6,3.1304951684997055,0.04899294185377538,0.004782458295855768,0.7694381791964556,0.01818825750434587
