task,method,method_label,score_metric,best_train_loss_mean,best_train_loss_std,best_test_loss_mean,best_test_loss_std,best_train_score_mean,best_train_score_std,best_test_score_mean,best_test_score_std,convergence_epoch_mean,convergence_epoch_std,cosine_mean,cosine_std,variance_mean,variance_std
MNIST,bp,BP,Accuracy,0.0001631826069671,1.961370663483949e-05,0.0039688106045126,1.7646353072033097e-05,1.0,0.0,0.98536,0.0003781534080237,18.6,0.5477225575051664,1.0,0.0,0.0,0.0
MNIST,np,IS-NP,Accuracy,0.0095380048319697,0.0003172052751992,0.0094257455468177,0.0002885300534302,0.9602,0.002654006405418,0.96154,0.0009502631214563,55.6,4.219004621945797,0.2068219574518108,0.0150601984473203,1.2769762647627145e-05,3.6424306693287316e-07
MNIST,np_fan_in,Fan-in NP,Accuracy,0.012993198660016,0.0005688972331264,0.0122960556715726,0.0005319604347272,0.94135,0.0031750984236712,0.94794,0.0022897598127314,121.8,5.761944116355174,0.2018434605764737,0.0116393389282746,1.540579976232328e-05,3.437979795051152e-07
MNIST,np_fixed,Vanilla NP,Accuracy,0.0180479595273733,0.0004935841834064,0.0170933156388998,0.0004564960903922,0.9207,0.0014726676475023,0.9288,0.0021863211109075,162.4,17.067512999848574,0.1489623307090917,0.0033326248928882,3.932216373648185e-05,4.010372868558114e-07
MNIST,wp,WP,Accuracy,0.0387648449361324,0.0014462244735534,0.0376859546625614,0.0016338961733086,0.8089000000000001,0.0074195687206197,0.82128,0.0040406682615626,90.4,30.146309890266835,0.0096498593451333,0.0004469839827526,0.0082058413622402,0.0001621437225897
