seed,checkpoint_epoch,checkpoint_fraction,method,sigma,component,component_label,layer_index,avg_sample_cosine,mean_estimate_cosine,sample_variance,batch_variance
0,1,0.02,np,0.0175,all,All layers,-1,0.014316628372353896,0.04533875945483899,3.392223537180853e-06,3.403198887755232e-07
0,1,0.02,np,0.0175,layer_1,Layer 1,0,0.011500733050518151,0.03650523243142087,2.421148092706718e-06,2.426458414200988e-07
0,1,0.02,np,0.0175,layer_2,Layer 2,1,0.010535891787779238,0.03338506793369726,1.4508668725058595e-05,1.451144685745621e-06
0,1,0.02,np,0.0175,layer_3,Layer 3,2,0.08315804377860499,0.23997216169481805,2.9838185494384834e-05,3.373621757476884e-06
0,1,0.02,np_fan_in,0.0055,all,All layers,-1,0.010844034372598132,0.03426075643589458,4.826397204439959e-06,4.857503614732098e-07
0,1,0.02,np_fan_in,0.0055,layer_1,Layer 1,0,0.008522419241836427,0.027094687504121914,3.4962868852735273e-06,3.505498685351023e-07
0,1,0.02,np_fan_in,0.0055,layer_2,Layer 2,1,0.007753469645279059,0.02443162748598523,2.0480563087687206e-05,2.056348854260266e-06
0,1,0.02,np_fan_in,0.0055,layer_3,Layer 3,2,0.09831540552574561,0.24000303414138152,1.9197249099432253e-05,2.9984464673126865e-06
0,1,0.02,np_fixed,0.19,all,All layers,-1,0.0047326061871559985,0.014924667098427245,2.5749593513192732e-05,2.5785968035033456e-06
0,1,0.02,np_fixed,0.19,layer_1,Layer 1,0,0.003124003040758437,0.009847776318923808,2.6667249196989382e-05,2.6690672235148052e-06
0,1,0.02,np_fixed,0.19,layer_2,Layer 2,1,0.00790269849879379,0.024960271241000805,1.4945348517088246e-05,1.4967468658146677e-06
0,1,0.02,np_fixed,0.19,layer_3,Layer 3,2,0.11258956493814976,0.27274345658922594,1.605352886575152e-05,2.4747289950269975e-06
0,1,0.02,wp,0.0125,all,All layers,-1,0.00028596104549226647,0.0009045623143936474,0.010916142779238084,0.0010916200809447509
0,1,0.02,wp,0.0125,layer_1,Layer 1,0,0.00019766121511945853,0.0006255487062199427,0.010916030558440691,0.0010915819847005922
0,1,0.02,wp,0.0125,layer_2,Layer 2,1,0.00045042586567692675,0.0014140124399800744,0.010917381447789918,0.001092066832036828
0,1,0.02,wp,0.0125,layer_3,Layer 3,2,0.0047968627491868305,0.015204027142689671,0.010921330200722609,0.0010920892984075162
0,25,0.5,np,0.0175,all,All layers,-1,0.01385105040668365,0.04375356367564119,2.1050558787981367e-05,2.1376153245465965e-06
0,25,0.5,np,0.0175,layer_1,Layer 1,0,0.014342056587394621,0.04556144900759027,1.5023579585443065e-05,1.5141815559234514e-06
0,25,0.5,np,0.0175,layer_2,Layer 2,1,0.011066187721988408,0.034766854648075454,8.998490892552539e-05,9.179038832725152e-06
0,25,0.5,np,0.0175,layer_3,Layer 3,2,0.037384379027693294,0.10478621395743962,0.00018824633640606944,2.3989574880810524e-05
0,25,0.5,np_fan_in,0.0055,all,All layers,-1,0.012938554549308978,0.04054982656547825,2.1505545547647078e-05,2.209018823444186e-06
0,25,0.5,np_fan_in,0.0055,layer_1,Layer 1,0,0.0140216240007003,0.04446471162901684,1.4232982916686304e-05,1.4324368696593631e-06
0,25,0.5,np_fan_in,0.0055,layer_2,Layer 2,1,0.009348436093251597,0.028971541216364725,0.00010688487004013518,1.107799014049943e-05
0,25,0.5,np_fan_in,0.0055,layer_3,Layer 3,2,0.04556693632188204,0.09604162092664806,0.00011091351121961189,2.443121312862879e-05
0,25,0.5,np_fixed,0.19,all,All layers,-1,0.00899461041070671,0.02854010752522681,4.568982334687527e-05,4.585824993639731e-06
0,25,0.5,np_fixed,0.19,layer_1,Layer 1,0,0.008191273669090709,0.026065041991415173,4.638943877129201e-05,4.639399244262347e-06
0,25,0.5,np_fixed,0.19,layer_2,Layer 2,1,0.013371224869047705,0.041791540127970477,3.746789192881785e-05,3.851669535994434e-06
0,25,0.5,np_fixed,0.19,layer_3,Layer 3,2,0.07444542244059256,0.14547469018740566,3.752242435653256e-05,9.30275105962033e-06
0,25,0.5,wp,0.0125,all,All layers,-1,0.00029726322082480807,0.0009488635845752313,0.05833088023507077,0.005833203899566932
0,25,0.5,wp,0.0125,layer_1,Layer 1,0,0.0002580254313358391,0.0008257083520532752,0.05833052476043896,0.0058332863478156765
0,25,0.5,wp,0.0125,layer_2,Layer 2,1,0.0005141134947070224,0.0016331218095282521,0.05833533521541549,0.005832305476974572
0,25,0.5,wp,0.0125,layer_3,Layer 3,2,0.0022505216914154532,0.007109364904083071,0.05831967710572131,0.005828513837683841
0,50,1.0,np,0.0175,all,All layers,-1,0.013945088505950533,0.043941485405544684,3.238777522045477e-05,3.2795354205923118e-06
0,50,1.0,np,0.0175,layer_1,Layer 1,0,0.0155733500050357,0.04922912676033833,2.3123038149222342e-05,2.328185258000052e-06
0,50,1.0,np,0.0175,layer_2,Layer 2,1,0.009329054742481168,0.02933818041363157,0.0001385077229573551,1.4104195387194069e-05
0,50,1.0,np,0.0175,layer_3,Layer 3,2,0.022088163722805348,0.06243683913465985,0.00028156787630461176,3.255984194156484e-05
0,50,1.0,np_fan_in,0.0055,all,All layers,-1,0.01216914902022842,0.03817294850844465,3.3669368126061914e-05,3.4421479704457767e-06
