seed,method,method_label,epoch,train_loss,test_loss,train_score,test_score,train_acc,test_acc
0,bp,BP,1,0.08118026864528656,0.08115677421092987,0.32925,0.3363,0.32925,0.3363
0,bp,BP,2,0.07786664187908172,0.07794803159236909,0.375,0.3807,0.375,0.3807
0,bp,BP,3,0.07577334928512573,0.07600006945133209,0.40175,0.4039,0.40175,0.4039
0,bp,BP,4,0.07415538108348846,0.07455235949754715,0.42525,0.4206,0.42525,0.4206
0,bp,BP,5,0.07291236412525177,0.07345549985170365,0.44125,0.436,0.44125,0.436
0,bp,BP,6,0.07188981968164444,0.07258364647626876,0.45575,0.4455,0.45575,0.4455
0,bp,BP,7,0.07092025935649872,0.07181933792829513,0.46975,0.4544,0.46975,0.4544
0,bp,BP,8,0.07017265635728837,0.07120647848844529,0.476,0.4598,0.476,0.4598
0,bp,BP,9,0.06938860350847244,0.07066044483184815,0.4845,0.4652,0.4845,0.4652
0,bp,BP,10,0.06870117676258088,0.07016769816875458,0.48925,0.469,0.48925,0.469
0,bp,BP,11,0.06815874058008194,0.06976353713274001,0.49575,0.4727,0.49575,0.4727
0,bp,BP,12,0.06746378153562546,0.06927611099481583,0.50675,0.4769,0.50675,0.4769
0,bp,BP,13,0.06699986028671265,0.06895768973827363,0.51225,0.4786,0.51225,0.4786
0,bp,BP,14,0.06646911919116974,0.06860151758193969,0.513,0.486,0.513,0.486
0,bp,BP,15,0.06590801519155502,0.06817839069366455,0.5245,0.4882,0.5245,0.4882
0,bp,BP,16,0.06537014985084534,0.06783119710683823,0.53,0.4901,0.53,0.4901
0,bp,BP,17,0.06482298308610916,0.06755865666866302,0.5335,0.4919,0.5335,0.4919
0,bp,BP,18,0.06443304961919785,0.06737494893074035,0.53725,0.4946,0.53725,0.4946
0,bp,BP,19,0.06396925592422485,0.067088589990139,0.548,0.4988,0.548,0.4988
0,bp,BP,20,0.06349882596731186,0.06679293410778046,0.54475,0.5,0.54475,0.5
0,bp,BP,21,0.06299139899015427,0.06652174497842789,0.551,0.5023,0.551,0.5023
0,bp,BP,22,0.06259895402193069,0.06627830135822296,0.55275,0.5063,0.55275,0.5063
0,bp,BP,23,0.061984411895275114,0.06594330818653106,0.56575,0.5108,0.56575,0.5108
0,bp,BP,24,0.06154237115383148,0.06573090654611588,0.56475,0.5122,0.56475,0.5122
0,bp,BP,25,0.061176316291093824,0.0656669273853302,0.5645,0.5122,0.5645,0.5122
0,bp,BP,26,0.060719893395900726,0.06538087297677994,0.58325,0.5196,0.58325,0.5196
0,bp,BP,27,0.06037579771876335,0.06531265077590942,0.5785,0.5178,0.5785,0.5178
0,bp,BP,28,0.059836310863494876,0.06499807411432267,0.5895,0.5213,0.5895,0.5213
0,bp,BP,29,0.05927673625946045,0.06469727339744567,0.59625,0.5239,0.59625,0.5239
0,bp,BP,30,0.05885882338881493,0.06455909824371338,0.59825,0.5228,0.59825,0.5228
0,bp,BP,31,0.05849581599235534,0.06450140589475632,0.599,0.5241,0.599,0.5241
0,bp,BP,32,0.05803868040442467,0.06424982680082321,0.603,0.5252,0.603,0.5252
0,bp,BP,33,0.05775002163648606,0.06434588145017624,0.6095,0.5259,0.6095,0.5259
0,bp,BP,34,0.057235647648572925,0.06398807052373887,0.61375,0.5309,0.61375,0.5309
0,bp,BP,35,0.056707696288824085,0.06374211192131042,0.6225,0.5323,0.6225,0.5323
0,bp,BP,36,0.05638093885779381,0.06383553746938705,0.622,0.5301,0.622,0.5301
0,bp,BP,37,0.0558387950360775,0.06358928474187851,0.633,0.5349,0.633,0.5349
0,bp,BP,38,0.05559972006082535,0.06361327621936798,0.634,0.5393,0.634,0.5393
0,bp,BP,39,0.0551493176817894,0.06346257266998291,0.6345,0.5375,0.6345,0.5375
0,bp,BP,40,0.05469888040423393,0.06340194798707963,0.64075,0.5356,0.64075,0.5356
0,bp,BP,41,0.05405147957801819,0.06307292295694351,0.6465,0.5424,0.6465,0.5424
0,bp,BP,42,0.05383952885866165,0.06324920506477356,0.646,0.5401,0.646,0.5401
0,bp,BP,43,0.053316285371780396,0.06299532487392426,0.65375,0.5425,0.65375,0.5425
0,bp,BP,44,0.0529809750020504,0.06307538880109786,0.654,0.5387,0.654,0.5387
0,bp,BP,45,0.052517843306064606,0.06288632541894913,0.65775,0.5414,0.65775,0.5414
0,bp,BP,46,0.05206365287303925,0.06270451194047928,0.66775,0.5435,0.66775,0.5435
0,bp,BP,47,0.051465595573186876,0.06254236636161804,0.67525,0.5442,0.67525,0.5442
0,bp,BP,48,0.05117128223180771,0.06254317886829376,0.67575,0.5473,0.67575,0.5473
0,bp,BP,49,0.05092174220085144,0.06255249954462051,0.6805,0.5449,0.6805,0.5449
