seed,method,method_label,epoch,train_loss,test_loss,train_score,test_score,train_r2,test_r2
0,bp,BP,1,0.9832403784574464,0.9604417667832486,0.01675957441329956,0.014208316802978516,0.01675957441329956,0.014208316802978516
0,bp,BP,2,0.9461240389550379,0.9235548243042111,0.05387592315673828,0.05206882953643799,0.05387592315673828,0.05206882953643799
0,bp,BP,3,0.827987905158553,0.8149862622105798,0.17201203107833862,0.16350305080413818,0.17201203107833862,0.16350305080413818
0,bp,BP,4,0.5854645745698795,0.5900354322999023,0.41453540325164795,0.39439117908477783,0.41453540325164795,0.39439117908477783
0,bp,BP,5,0.4670007482979649,0.47959633344827696,0.5329992771148682,0.5077451467514038,0.5329992771148682,0.5077451467514038
0,bp,BP,6,0.4379017212132151,0.45233390127965645,0.5620982646942139,0.5357272624969482,0.5620982646942139,0.5357272624969482
0,bp,BP,7,0.42252257766649703,0.4364640088968499,0.5774774551391602,0.552016019821167,0.5774774551391602,0.552016019821167
0,bp,BP,8,0.4107343873312307,0.4238403661306514,0.5892655849456787,0.5649727582931519,0.5892655849456787,0.5649727582931519
0,bp,BP,9,0.40661308134711066,0.419394921424777,0.5933868885040283,0.5695356130599976,0.5933868885040283,0.5695356130599976
0,bp,BP,10,0.38647054701812505,0.39503939877184785,0.6135294437408447,0.5945339202880859,0.6135294437408447,0.5945339202880859
0,bp,BP,11,0.37282786119815914,0.38106511475503907,0.6271721124649048,0.6088770627975464,0.6271721124649048,0.6088770627975464
0,bp,BP,12,0.3788715699153353,0.38330034876978675,0.6211284399032593,0.6065828800201416,0.6211284399032593,0.6065828800201416
0,bp,BP,13,0.3562855301208274,0.3626262591790783,0.643714427947998,0.6278026103973389,0.643714427947998,0.6278026103973389
0,bp,BP,14,0.39282077585541925,0.39333510560582774,0.6071792244911194,0.5962831974029541,0.6071792244911194,0.5962831974029541
0,bp,BP,15,0.3448079064372898,0.3491414210131002,0.6551921367645264,0.6416433453559875,0.6551921367645264,0.6416433453559875
0,bp,BP,16,0.33665962124517723,0.33956622338110165,0.6633403897285461,0.6514713168144226,0.6633403897285461,0.6514713168144226
0,bp,BP,17,0.33107872619185336,0.3328166952890943,0.6689212322235107,0.6583989262580872,0.6689212322235107,0.6583989262580872
0,bp,BP,18,0.33203409288742747,0.3318934722464214,0.6679658889770508,0.6593465805053711,0.6679658889770508,0.6593465805053711
0,bp,BP,19,0.33881512653920076,0.3415197935677314,0.6611848473548889,0.6494661569595337,0.6611848473548889,0.6494661569595337
0,bp,BP,20,0.3399902681509654,0.3379302380620971,0.6600097417831421,0.6531504392623901,0.6600097417831421,0.6531504392623901
0,bp,BP,21,0.32537276777186136,0.3268033425475276,0.6746273040771484,0.6645710468292236,0.6746273040771484,0.6645710468292236
0,bp,BP,22,0.3170637290838153,0.31681144976800724,0.6829362511634827,0.6748266220092773,0.6829362511634827,0.6748266220092773
0,bp,BP,23,0.3192282773034517,0.31760876747064815,0.6807717084884644,0.6740082502365112,0.6807717084884644,0.6740082502365112
0,bp,BP,24,0.3345903661824012,0.33154338136199835,0.6654096245765686,0.6597058773040771,0.6654096245765686,0.6597058773040771
0,bp,BP,25,0.3171212721702664,0.3148896019588145,0.6828787326812744,0.6767991781234741,0.6828787326812744,0.6767991781234741
0,bp,BP,26,0.3441886126764061,0.3464620556942252,0.6558114290237427,0.6443934440612793,0.6558114290237427,0.6443934440612793
0,bp,BP,27,0.3102405366971511,0.3096321486225424,0.6897594332695007,0.6821954250335693,0.6897594332695007,0.6821954250335693
0,bp,BP,28,0.31090287598528604,0.30876669518707334,0.6890970468521118,0.6830837726593018,0.6890970468521118,0.6830837726593018
0,bp,BP,29,0.3064209613227105,0.30537099708882415,0.6935790181159973,0.6865690350532532,0.6935790181159973,0.6865690350532532
0,bp,BP,30,0.3575177710185679,0.3528042948523233,0.6424822807312012,0.6378837823867798,0.6424822807312012,0.6378837823867798
0,bp,BP,31,0.3044733083987421,0.3020018376121225,0.695526659488678,0.690027117729187,0.695526659488678,0.690027117729187
0,bp,BP,32,0.3241051918314409,0.3245820913665978,0.6758947968482971,0.6668509244918823,0.6758947968482971,0.6668509244918823
0,bp,BP,33,0.3013090663409048,0.29979230082312297,0.6986908912658691,0.6922949552536011,0.6986908912658691,0.6922949552536011
0,bp,BP,34,0.2999789221573246,0.2978779236937678,0.7000210881233215,0.6942599415779114,0.7000210881233215,0.6942599415779114
0,bp,BP,35,0.2996377309625463,0.2978261307228443,0.7003622651100159,0.6943130493164062,0.7003622651100159,0.6943130493164062
0,bp,BP,36,0.30106609251148014,0.29962886488714885,0.6989338994026184,0.692462682723999,0.6989338994026184,0.692462682723999
0,bp,BP,37,0.3079830535160479,0.30702519000962725,0.6920169591903687,0.6848711967468262,0.6920169591903687,0.6848711967468262
0,bp,BP,38,0.3079425336778626,0.3068713656691618,0.6920574903488159,0.6850290298461914,0.6920574903488159,0.6850290298461914
0,bp,BP,39,0.29667448812676955,0.293898039547972,0.7033255100250244,0.6983448266983032,0.7033255100250244,0.6983448266983032
0,bp,BP,40,0.3212326733871948,0.3170580411142157,0.6787673234939575,0.674573540687561,0.6787673234939575,0.674573540687561
0,bp,BP,41,0.3296478443829588,0.32974165955255197,0.6703521013259888,0.6615551710128784,0.6703521013259888,0.6615551710128784
0,bp,BP,42,0.2983397657788077,0.2950781971909279,0.7016602754592896,0.6971335411071777,0.7016602754592896,0.6971335411071777
0,bp,BP,43,0.292868366537168,0.29027056486107583,0.7071316242218018,0.7020680904388428,0.7071316242218018,0.7020680904388428
0,bp,BP,44,0.3094911117886388,0.3053810106691464,0.6905089020729065,0.6865587830543518,0.6905089020729065,0.6865587830543518
