method,cosine_mean,cosine_std,variance_mean,variance_std,sigma
np,0.26845135620405647,0.034599406893817505,0.015728651509644132,0.00037086983528982246,0.10000000000000002
np_fan_in,0.1900402633223432,0.023422667147455292,0.09686902384822949,0.014955622410654009,0.052500000000000005
np_fixed,0.29926267488698405,0.021402139494618815,0.02115346072241664,0.002164059799980926,0.45
wp,0.04899294185377538,0.004782458295855768,0.7694381791964556,0.01818825750434587,0.10000000000000002
