checkpoint_epoch,method,cosine_mean,cosine_std,variance_mean,variance_std,sigma
1,np,0.2837123839499859,0.03414130267149082,0.02470395256120425,0.0011493097981218675,0.1
1,np_fan_in,0.17506449323443052,0.019748233146588978,0.09941960842563555,0.005743797688286539,0.052500000000000005
1,np_fixed,0.28644822387741165,0.0395806116093296,0.02660044440283225,0.0013143271070606482,0.45
1,wp,0.04525675787366569,0.009099026719997573,1.2107002355502203,0.05543502680396197,0.1
25,np,0.24567498903197701,0.06710251560800454,0.011861858347860667,0.00030881634294958264,0.1
25,np_fan_in,0.1827982682779503,0.04043669694701696,0.07804536735782257,0.013820386580846833,0.052500000000000005
25,np_fixed,0.3006731677870266,0.04492631697434333,0.016027262806892394,0.0019782624593675203,0.45
25,wp,0.045430160994068366,0.009388277420000509,0.578098761851971,0.013964108167484383,0.1
50,np,0.2759666956302065,0.06900064438485366,0.010620143619867472,0.00016441250146629165,0.1
50,np_fan_in,0.21225802845464875,0.044578024387832364,0.11314209576123035,0.029482223982252517,0.052500000000000005
50,np_fixed,0.31066663299651387,0.040633165607424845,0.02083267495752527,0.0037430946524947485,0.45
50,wp,0.056291906693592096,0.010865794295686433,0.5195155401871755,0.008391902048271473,0.1
