seed,task,method,method_label,best_train_loss,best_test_loss,best_train_score,best_test_score,score_metric,convergence_epoch,epochs_completed,diverged,cosine,variance
0,Sinus,bp,BP,0.09254918992519379,0.08223575353622437,0.5287008881568909,0.5359820127487183,R2,139,500,False,1.0,0.0
0,Sinus,np,IS NP,0.09248152375221252,0.08184009790420532,0.5290454626083374,0.5382145643234253,R2,101,500,False,0.6791604453076919,0.0074709000570389135
0,Sinus,np_fixed,Vanilla NP,0.09392572939395905,0.0827893614768982,0.5216909646987915,0.5328582525253296,R2,202,500,False,0.7233494874089956,0.007903500460088253
0,Sinus,np_fan_in,Fan-in NP,0.09314422309398651,0.08232671767473221,0.5256707072257996,0.5354686975479126,R2,139,500,False,0.6816119402647018,0.00791387069815149
0,Sinus,wp,WP,0.10036729276180267,0.08605818450450897,0.4888877868652344,0.5144138336181641,R2,164,500,False,0.3439644466658744,0.06325799971818924
1,Sinus,bp,BP,0.0931028425693512,0.08200587332248688,0.5258814096450806,0.5372791290283203,R2,134,500,False,1.0,0.0
1,Sinus,np,IS NP,0.09177175164222717,0.08276055008172989,0.5326598286628723,0.5330208539962769,R2,144,500,False,0.8347635914882024,0.007563936776326348
1,Sinus,np_fixed,Vanilla NP,0.09302269667387009,0.08224580436944962,0.5262895226478577,0.5359253287315369,R2,243,500,False,0.8385637661752602,0.007812012316814314
1,Sinus,np_fan_in,Fan-in NP,0.09257713705301285,0.08349606394767761,0.5285585522651672,0.5288706421852112,R2,191,500,False,0.8571998079617819,0.007719125540461391
1,Sinus,wp,WP,0.09631267935037613,0.08924180269241333,0.5095356106758118,0.49645012617111206,R2,209,500,False,0.5774995192574958,0.06516745034605265
2,Sinus,bp,BP,0.09270139038562775,0.08237439393997192,0.5279257297515869,0.5351997017860413,R2,136,500,False,1.0,0.0
2,Sinus,np,IS NP,0.09233030676841736,0.08363179117441177,0.5298154950141907,0.528104841709137,R2,122,500,False,0.6516499978800615,0.007273039528323959
2,Sinus,np_fixed,Vanilla NP,0.09345005452632904,0.08395973592996597,0.5241132974624634,0.5262542963027954,R2,235,500,False,0.7246699125195543,0.007912302835999677
2,Sinus,np_fan_in,Fan-in NP,0.09328415244817734,0.08412815630435944,0.5249581336975098,0.5253040790557861,R2,192,500,False,0.7215872512509426,0.007977968625103435
2,Sinus,wp,WP,0.09628959000110626,0.0840887576341629,0.5096532106399536,0.5255263447761536,R2,234,500,False,0.3851132371152441,0.05980325707544883
3,Sinus,bp,BP,0.09295088052749634,0.08220416307449341,0.526655375957489,0.5361602306365967,R2,117,500,False,1.0,0.0
3,Sinus,np,IS NP,0.09291015565395355,0.08216957747936249,0.5268627405166626,0.5363553762435913,R2,103,500,False,0.691875192647179,0.006726142077241093
3,Sinus,np_fixed,Vanilla NP,0.09335741400718689,0.08386889845132828,0.5245850086212158,0.5267668962478638,R2,240,500,False,0.7124016818900903,0.007477786023324977
3,Sinus,np_fan_in,Fan-in NP,0.09281933307647705,0.08245020359754562,0.5273251533508301,0.5347719192504883,R2,166,500,False,0.7055642066212992,0.007443390864258011
3,Sinus,wp,WP,0.09449240565299988,0.08063748478889465,0.5188052654266357,0.5450003147125244,R2,298,500,False,0.36276307531322044,0.05582037273173531
4,Sinus,bp,BP,0.09216926246881485,0.0821908563375473,0.5306355953216553,0.5362353324890137,R2,109,500,False,1.0,0.0
4,Sinus,np,IS NP,0.09291871637105942,0.08319146931171417,0.526819109916687,0.5305893421173096,R2,85,500,False,0.8150706452627977,0.007181114323126773
4,Sinus,np_fixed,Vanilla NP,0.09278940409421921,0.08192744106054306,0.5274776220321655,0.5377216339111328,R2,153,500,False,0.8105441328758994,0.007385143214681496
4,Sinus,np_fan_in,Fan-in NP,0.09234894812107086,0.08195668458938599,0.5297206044197083,0.5375566482543945,R2,125,500,False,0.7698745543214803,0.007438451556178431
4,Sinus,wp,WP,0.09531064331531525,0.08618651330471039,0.5146384239196777,0.5136897563934326,R2,145,500,False,0.47595905015865964,0.06314503665392597
5,Sinus,bp,BP,0.09234348684549332,0.08199523389339447,0.5297483801841736,0.5373390913009644,R2,164,500,False,1.0,0.0
5,Sinus,np,IS NP,0.09246067702770233,0.08168860524892807,0.5291516184806824,0.5390692949295044,R2,125,500,False,0.6875279567514857,0.007768983118391286
5,Sinus,np_fixed,Vanilla NP,0.09528856724500656,0.08408943563699722,0.5147508382797241,0.5255225896835327,R2,239,500,False,0.7280313035783669,0.008566367672756314
5,Sinus,np_fan_in,Fan-in NP,0.09425032138824463,0.08328871428966522,0.5200380086898804,0.5300406217575073,R2,177,500,False,0.7195953093469143,0.008501812214187035
5,Sinus,wp,WP,0.10363437980413437,0.09273858368396759,0.47225040197372437,0.4767194390296936,R2,278,500,False,0.3846377631028493,0.06163114743928114
6,Sinus,bp,BP,0.092528335750103,0.08241607248783112,0.5288071036338806,0.5349645614624023,R2,116,500,False,1.0,0.0
6,Sinus,np,IS NP,0.09126811474561691,0.08420151472091675,0.5352246761322021,0.524890124797821,R2,174,500,False,0.8203323182339469,0.007413386910532911
6,Sinus,np_fixed,Vanilla NP,0.09532314538955688,0.08329938352108002,0.5145747661590576,0.5299804210662842,R2,274,500,False,0.8486853428184986,0.007730351023686429
6,Sinus,np_fan_in,Fan-in NP,0.09383751451969147,0.08213716000318527,0.5221401453018188,0.5365382432937622,R2,221,500,False,0.8535520235697428,0.00784318168492367
6,Sinus,wp,WP,0.1012980192899704,0.09067438542842865,0.48414814472198486,0.4883667230606079,R2,184,500,False,0.5934736759712299,0.06569488424186905
7,Sinus,bp,BP,0.09237083792686462,0.08211240917444229,0.5296090841293335,0.5366779565811157,R2,119,500,False,1.0,0.0
7,Sinus,np,IS NP,0.0919761210680008,0.08185868710279465,0.5316191911697388,0.5381096005439758,R2,133,500,False,0.7228661744544903,0.006811286274266119
7,Sinus,np_fixed,Vanilla NP,0.09304575622081757,0.08165207505226135,0.5261721611022949,0.5392754077911377,R2,224,500,False,0.7466262926657995,0.0075022263918071985
7,Sinus,np_fan_in,Fan-in NP,0.0930275171995163,0.08168192207813263,0.5262649059295654,0.5391069650650024,R2,184,500,False,0.7245118021965027,0.007573807825489591
7,Sinus,wp,WP,0.09499787539243698,0.0857468917965889,0.5162310600280762,0.5161702632904053,R2,311,500,False,0.36702823713615845,0.05796176257232825
8,Sinus,bp,BP,0.09221918880939484,0.08232146501541138,0.5303813219070435,0.5354983806610107,R2,103,500,False,1.0,0.0
8,Sinus,np,IS NP,0.09239456057548523,0.08240079134702682,0.5294883847236633,0.5350507497787476,R2,104,500,False,0.6952245011925697,0.006841836215850587
8,Sinus,np_fixed,Vanilla NP,0.09324415773153305,0.08304601907730103,0.5251618027687073,0.5314099788665771,R2,196,500,False,0.6337269257443646,0.00750984992676725
8,Sinus,np_fan_in,Fan-in NP,0.0932760089635849,0.08196639269590378,0.5249996185302734,0.537501871585846,R2,145,500,False,0.6880731669565042,0.007528201094828546
8,Sinus,wp,WP,0.09412813186645508,0.08339370042085648,0.5206602215766907,0.5294482707977295,R2,195,500,False,0.3637685738503933,0.06020283683513602
9,Sinus,bp,BP,0.09234793484210968,0.08165688812732697,0.5297257304191589,0.5392482280731201,R2,191,500,False,1.0,0.0
9,Sinus,np,IS NP,0.09084420651197433,0.081668421626091,0.5373833179473877,0.5391831398010254,R2,104,500,False,0.678590101810793,0.008448398400408527
9,Sinus,np_fixed,Vanilla NP,0.09267570078372955,0.08271023631095886,0.5280566215515137,0.5333046913146973,R2,253,500,False,0.7227277751080692,0.008624941401649266
9,Sinus,np_fan_in,Fan-in NP,0.09281321614980698,0.08173118531703949,0.5273563861846924,0.5388290286064148,R2,181,500,False,0.7164325627187887,0.00872513500507921
9,Sinus,wp,WP,0.09785523265600204,0.0858926922082901,0.501680314540863,0.5153475999832153,R2,271,500,False,0.4385299813002348,0.06799466737235586
