condition,condition_label,input_scale,method,method_label,cosine_similarity,cosine_similarity_std,update_variance,update_variance_std,batch_variance,sigma,num_seeds
base,"[-1, 1]",1.0,np,IS-NP,0.7735017551439038,0.04746352084333901,0.007556352672205928,0.0006206398505187848,3.838732199786439e-05,0.15,10
base,"[-1, 1]",1.0,np_fan_in,Fan-in NP,0.7713297435780987,0.06640767059995636,0.007915481152789047,0.0005423820620129408,3.732900676898983e-05,0.10000000000000002,10
base,"[-1, 1]",1.0,np_fixed,Vanilla NP,0.7701182783891757,0.04743213359398062,0.007898768256806458,0.0005569771303464576,3.800323255139422e-05,0.3,10
base,"[-1, 1]",1.0,wp,WP,0.48380010095036896,0.07477170834880202,0.06313643553294242,0.00401613610224806,0.00029913303496869047,0.225,10
scaled,"[-5, 5]",5.0,np,IS-NP,0.7836910835156837,0.042464645509590844,0.00735480545166259,0.0007429671490710259,4.498729543532439e-05,0.15,10
scaled,"[-5, 5]",5.0,np_fan_in,Fan-in NP,0.5385750345575313,0.056346349792281696,0.06419554573173324,0.005077511506416416,0.00027420881278885647,0.10000000000000002,10
scaled,"[-5, 5]",5.0,np_fixed,Vanilla NP,0.5428354922061165,0.05539365489133292,0.06425025697487095,0.004977509774700346,0.00027278716097498543,0.3,10
scaled,"[-5, 5]",5.0,wp,WP,0.4615899516987459,0.07487269445941123,0.06572114136070013,0.006404651888004618,0.0003310931596085235,0.225,10
