seed,condition,condition_label,input_scale,checkpoint_epoch,method,method_label,cosine,variance,batch_variance,sigma,num_batches
1,scaled,"[-5, 5]",5.0,120,np_fixed,Vanilla NP,0.6064227744936943,0.04680707631632686,0.0001840997429098934,0.3,8
1,scaled,"[-5, 5]",5.0,120,wp,WP,0.48037634044885635,0.05805566580966115,0.0002893254641094245,0.225,8
1,scaled,"[-5, 5]",5.0,240,np,IS-NP,0.8096267804503441,0.0056377865839749575,3.995233237219509e-05,0.15,8
1,scaled,"[-5, 5]",5.0,240,np_fan_in,Fan-in NP,0.6098415609449148,0.044397851917892694,0.00018827806161425542,0.1,8
1,scaled,"[-5, 5]",5.0,240,np_fixed,Vanilla NP,0.6018589762970805,0.04459727555513382,0.0002117806434398517,0.3,8
1,scaled,"[-5, 5]",5.0,240,wp,WP,0.5438154600560665,0.0627000299282372,0.00031394907637150027,0.225,8
2,base,"[-1, 1]",1.0,1,np,IS-NP,0.5839819610118866,0.011340278433635831,4.947390607412672e-05,0.15,8
2,base,"[-1, 1]",1.0,1,np_fan_in,Fan-in NP,0.6144002228975296,0.011571813840419054,5.4981973335088696e-05,0.1,8
2,base,"[-1, 1]",1.0,1,np_fixed,Vanilla NP,0.5631426591426134,0.011477111373096704,4.903509443465737e-05,0.3,8
2,base,"[-1, 1]",1.0,1,wp,WP,0.3561088712885976,0.0784751265309751,0.0003639249116531573,0.225,8
2,base,"[-1, 1]",1.0,120,np,IS-NP,0.7981021776795387,0.00630883063422516,3.3779543855416705e-05,0.15,8
2,base,"[-1, 1]",1.0,120,np_fan_in,Fan-in NP,0.8550631776452065,0.006800932285841554,2.7568709811021108e-05,0.1,8
2,base,"[-1, 1]",1.0,120,np_fixed,Vanilla NP,0.8135019764304161,0.0066961817210540175,3.383671810297528e-05,0.3,8
2,base,"[-1, 1]",1.0,120,wp,WP,0.5363580919802189,0.05770226754248142,0.000271182168944506,0.225,8
2,base,"[-1, 1]",1.0,240,np,IS-NP,0.8566523268818855,0.005259814846795052,3.0868248586557456e-05,0.15,8
2,base,"[-1, 1]",1.0,240,np_fan_in,Fan-in NP,0.8648944832384586,0.006243372103199363,3.0082730745562003e-05,0.1,8
2,base,"[-1, 1]",1.0,240,np_fixed,Vanilla NP,0.8648558482527733,0.00615060213021934,2.73191872111056e-05,0.3,8
2,base,"[-1, 1]",1.0,240,wp,WP,0.5837738582631573,0.05358537659049034,0.00026990911646862514,0.225,8
2,scaled,"[-5, 5]",5.0,1,np,IS-NP,0.7168844044208527,0.011804104666225612,5.3670775287173456e-05,0.15,8
2,scaled,"[-5, 5]",5.0,1,np_fan_in,Fan-in NP,0.409616956487298,0.1141307232901454,0.0005029110252507962,0.1,8
2,scaled,"[-5, 5]",5.0,1,np_fixed,Vanilla NP,0.3714509345591068,0.11407012864947319,0.00046301401744131,0.3,8
2,scaled,"[-5, 5]",5.0,1,wp,WP,0.4223239105194807,0.08164803590625525,0.0003762442538572941,0.225,8
2,scaled,"[-5, 5]",5.0,120,np,IS-NP,0.6963698640465736,0.0055795629741624,4.219064658173011e-05,0.15,8
2,scaled,"[-5, 5]",5.0,120,np_fan_in,Fan-in NP,0.5185292735695839,0.046501399017870426,0.00019675637668115087,0.1,8
2,scaled,"[-5, 5]",5.0,120,np_fixed,Vanilla NP,0.5195829970762134,0.04622821556404233,0.00018963967067975318,0.3,8
2,scaled,"[-5, 5]",5.0,120,wp,WP,0.3757036663591862,0.05677913362160325,0.0002980082881549606,0.225,8
