method,cosine_mean,cosine_std,variance_mean,variance_std,sigma
np,0.04703541436103706,0.002084202784731132,1.8708398894107057e-05,4.352174016502837e-07,0.0175
np_fan_in,0.04192825892877961,0.0029736210159934987,1.973205178981443e-05,5.352700625170946e-07,0.0055000000000000005
np_fixed,0.02751708980397377,0.0007156402912904427,4.444746296825386e-05,1.0019462746260628e-06,0.19000000000000003
wp,0.0009916091457755824,4.378881311240655e-05,0.050370570117542604,0.0006807328051000563,0.012500000000000002
